preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.23592380469848,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155749719835002,1972,2,,/title/tt0068646/
3,Batman: El caballero de la noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.992082919029912,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983827073781795,1974,4,,/title/tt0071562/
1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.953725964900942,1957,5,,/title/tt0050083/
2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.940528487995474,1993,6,,/title/tt0108052/
3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.933255642156107,2003,7,,/title/tt0167260/
4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.845849161958371,1994,8,,/title/tt0110912/
1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811552082240915,2001,9,,/title/tt0120737/
2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.78833091428741,1966,1,,/title/tt0060196/
3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.766392494897682,1994,11,,/title/tt0109830/
4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.74740670023721,1999,12,,/title/tt0137523/
1,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.737381858383936,2002,13,,/title/tt0167261/
2,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732599286242138,2010,14,,/title/tt1375666/
3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.698145849914361,1980,15,,/title/tt0080684/
4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669173787204299,1999,16,,/title/tt0133093/
1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.653447093342725,1990,17,,/title/tt0099685/
2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.637428358497699,1975,18,,/title/tt0073486/
3,Seven,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604658969006692,1995,19,,/title/tt0114369/
4,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.59758787841037,1946,20,,/title/tt0038650/
1,Los siete samuráis,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.597457614945688,1954,21,,/title/tt0047478/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.588290764001494,1991,22,,/title/tt0102926/
3,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.579975512665685,1998,23,,/title/tt0120815/
4,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579282144891204,2002,24,,/title/tt0317248/
1,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.57379721325904,2014,25,,/title/tt0816692/
2,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.568844786079413,1997,26,,/title/tt0118799/
3,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.563983015459792,1999,27,,/title/tt0120689/
4,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.547285710420672,1977,28,,/title/tt0076759/
1,Terminator 2: Juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.538493278186724,1991,29,,/title/tt0103064/
2,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517975425515191,1985,30,,/title/tt0088763/
3,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515940844617722,2001,31,,/title/tt0245429/
